Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,Longitude
5/5/13,Salt Lake,Pfeifferhorn,Natural,0.4572,45.71022727,213.3143939,Southwest,3352.083333,0,0,Wet grains,0,0,0,0,40.532165,-111.706624
4/28/13,Salt Lake,Kessler Peak,Natural,unknown,Unknown,182.8409091,North,2742.613636,0,0,Wet grains,0,0,0,0,40.631575,-111.666069
4/27/13,Uintas,Uintas,Natural,0.1778,152.3674242,304.7348485,East,3413.030303,0,0,New Snow,0,0,0,0,40.709695,-111.024613
4/21/13,Salt Lake,Tuscarora,Snowboarder,0.3048,21.33143939,304.7348485,East,3169.242424,0,0,New Snow/Old Snow Interface,0,1,0,0,40.584189,-111.598284
4/21/13,Salt Lake,Superior,Skier,0.2032,27.42613636,137.1306818,South,3047.348485,0,0,New Snow/Old Snow Interface,1,1,0,0,40.594957,-111.652594
4/21/13,Salt Lake,Hogum,Natural,0.1524,12.18939394,609.469697,East,3352.083333,0,0,Wet grains,0,0,0,0,40.546678,-111.724777
4/20/13,Salt Lake,Twin Lakes Pass,Skier,0.254,45.71022727,91.42045455,East,3138.768939,0,0,New Snow/Old Snow Interface,0,0,0,0,40.590395,-111.608219
4/20/13,Salt Lake,Rocky Point,Natural,0.3556,152.3674242,106.657197,Northeast,3169.242424,0,0,Density Change,0,0,0,0,40.578499,-111.598091
4/20/13,Salt Lake,MacDonalds Draw,Natural,0.1524,12.18939394,45.71022727,Northeast,2986.401515,0,0,New Snow,0,0,0,0,40.650377,-111.591182
4/20/13,Salt Lake,Cardiff Pass,Skier,0.2032,60.9469697,60.9469697,East,Unknown,0,0,Density Change,0,0,0,0,40.59512,-111.652679
4/20/13,Salt Lake,Mt. Raymond,Skier,0.2032,30.47348485,121.8939394,Northwest,2742.613636,0,0,Density Change,0,0,0,0,Unknown,Unknown
