Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Latitude,Longitude,Longitude (ALTERNATE)
05/05/13,Salt Lake,Pfeifferhorn,Natural,0.4572,45.71022727,213.3143939,Southwest,3352.083333,40.532165,-111.706624,248.293376
04/28/13,Salt Lake,Kessler Peak,Natural,unknown,Unknown,182.8409091,North,2742.613636,40.631575,-111.666069,248.333931
04/27/13,Uintas,Uintas,Natural,0.1778,152.3674242,304.7348485,East,3413.030303,40.709695,-111.024613,248.975387
04/21/13,Salt Lake,Tuscarora,Snowboarder,0.3048,21.33143939,304.7348485,East,3169.242424,40.584189,-111.598284,248.401716
04/21/13,Salt Lake,Superior,Skier,0.2032,27.42613636,137.1306818,South,3047.348485,40.594957,-111.652594,248.347406
04/21/13,Salt Lake,Hogum,Natural,0.1524,12.18939394,609.469697,East,3352.083333,40.546678,-111.724777,248.275223
04/20/13,Salt Lake,Twin Lakes Pass,Skier,0.254,45.71022727,91.42045455,East,3138.768939,40.590395,-111.608219,248.391781
04/20/13,Salt Lake,Rocky Point,Natural,0.3556,152.3674242,106.657197,Northeast,3169.242424,40.578499,-111.598091,248.401909
04/20/13,Salt Lake,MacDonalds Draw,Natural,0.1524,12.18939394,45.71022727,Northeast,2986.401515,40.650377,-111.591182,248.408818
04/20/13,Salt Lake,Cardiff Pass,Skier,0.2032,60.9469697,60.9469697,East,Unknown,40.59512,-111.652679,248.347321
04/18/13,Salt Lake,Wolverine,Skier,0.3048,Unknown,152.3674242,East,Unknown,40.588211,-111.608047,248.391953
04/18/13,Skyline,Skyline,Natural,0.0254,60.9469697,91.42045455,Southeast,3199.715909,39.519138,-111.29528,248.70472
04/11/13,Uintas,Lofty Lake,Natural,1.524,304.7348485,243.7878788,North,3352.083333,40.732169,-110.892992,249.107008
04/11/13,Salt Lake,Kessler Slabs,Skier,0.2032,13.71306818,457.1022727,East,3016.875,40.629,-111.666412,248.333588
04/10/13,Salt Lake,West Monitor,Skier,0.254,9.142045455,182.8409091,East,2986.401515,40.638517,-111.576762,248.423238
04/09/13,Salt Lake,Lake Lakawaxen,Snowboarder,0.254,53.32859848,106.657197,Northeast,3199.715909,40.591046,-111.558952,248.441048
04/04/13,Salt Lake,Stairs Gulch,Natural,unknown,Unknown,Unknown,West,2894.981061,40.608251,-111.728983,248.271017
04/03/13,Uintas,Whitney Basin,Natural,1.2192,499.7651515,121.8939394,Northeast,3230.189394,40.843359,-111.020236,248.979764
04/02/13,Uintas,Weber Canyon,Natural,0.254,15.23674242,45.71022727,Northeast,3108.295455,40.839496,-111.069245,248.930755
04/02/13,Salt Lake,Grizzly Gulch,Skier,0.3048,Unknown,Unknown,South,3077.82197,40.6,-111.618,248.382
03/26/13,Salt Lake,White Pine,Skier,0.2032,60.9469697,243.7878788,Northwest,3321.609848,40.552222,-111.664782,248.335218
03/25/13,Salt Lake,Superior,Skier,0.4572,18.28409091,533.2859848,Southeast,3291.136364,40.591242,-111.666026,248.333974
03/25/13,Uintas,Gold Hill,Snowmobiler,1.2192,53.32859848,60.9469697,North,2986.401515,40.812705,-110.905523,249.094477
03/24/13,Salt Lake,Mineral Fork,Skier,0.381,30.47348485,213.3143939,Northeast,2925.454545,40.608144,-111.683621,248.316379
03/24/13,Salt Lake,Snake Creek,Skier,0.381,21.33143939,45.71022727,Southeast,2773.087121,40.57713,-111.577492,248.422508
03/24/13,Salt Lake,Mill B South,Skier,0.5334,30.47348485,121.8939394,North,2894.981061,40.598802,-111.70229,248.29771
03/23/13,Salt Lake,Snake Creek,Snow Bike,0.1016,15.23674242,91.42045455,Southeast,2894.981061,40.552059,-111.568147,248.431853
03/23/13,Salt Lake,Banana Days,Skier,0.3048,7.618371212,243.7878788,Northeast,3077.82197,40.607723,-111.643547,248.356453
03/23/13,Salt Lake,Cardiff Fork,Skier,0.2286,18.28409091,121.8939394,Northeast,3077.82197,40.59498,-111.660876,248.339124
03/23/13,Logan,Tony Grove,Snowboarder,0.4064,15.23674242,30.47348485,Northeast,2773.087121,41.896559,-111.659074,248.340926
03/23/13,Salt Lake,Days Headwall,Skier,0.1524,15.23674242,182.8409091,Northeast,3108.295455,40.600666,-111.634333,248.365667
03/23/13,Salt Lake,Catchers Mit,Skier,0.508,18.28409091,60.9469697,Northeast,3108.295455,40.623041,-111.668215,248.331785
03/23/13,Salt Lake,Meadows,Skier,0.254,24.37878788,60.9469697,East,2681.666667,40.612584,-111.623282,248.376718
03/23/13,Salt Lake,Flanigans,Snowboarder,0.3048,9.142045455,76.18371212,North,2986.401515,40.605439,-111.618956,248.381044
03/21/13,Salt Lake,Mill B South,Natural,0.254,7.618371212,30.47348485,Northwest,3199.715909,40.591796,-111.674566,248.325434
03/21/13,Salt Lake,Hypodermic Needle,Natural,0.508,18.28409091,457.1022727,Northeast,3230.189394,40.545309,-111.730099,248.269901
03/21/13,Salt Lake,Pioneer Ridge,Skier,0.254,15.23674242,106.657197,Northeast,3108.295455,40.581888,-111.587749,248.412251
03/21/13,Logan,White Rock Hollow,Skier,0.3048,21.33143939,60.9469697,East,2742.613636,41.683404,-111.696587,248.303413
03/20/13,Salt Lake,Days Fork,Skier,0.2032,45.71022727,121.8939394,North,3077.82197,40.604244,-111.641994,248.358006
03/18/13,Uintas,Moffit Basin,Skier,0.762,15.23674242,304.7348485,Northeast,3291.136364,40.809793,-110.953803,249.046197
03/15/13,Salt Lake,Broads Fork,Natural,unknown,Unknown,457.1022727,East,3199.715909,40.597792,-111.719971,248.280029
03/15/13,Logan,West Side of Wellsville Range,Natural,unknown,Unknown,609.469697,West,2498.825758,41.681086,-112.03424,247.96576
03/15/13,Provo,Lama Peak area,Natural,unknown,12.18939394,152.3674242,Southeast,2803.560606,40.238855,-111.537686,248.462314
03/15/13,Uintas,Upper Weber Canyon,Skier,0.6096,182.8409091,Unknown,Southeast,3016.875,40.82732,-110.996075,249.003925
03/15/13,Uintas,Duchesne Ridge,Natural,0.9144,24.37878788,60.9469697,Northeast,2986.401515,40.46763,-111.107998,248.892002
03/15/13,Provo,Provo,Natural,unknown,Unknown,Unknown,East,2894.981061,40.370717,-111.614571,248.385429
03/15/13,Salt Lake,West Monitor,Natural,0.9144,53.32859848,213.3143939,East,3016.875,40.64053,-111.576891,248.423109
03/14/13,Logan,Green Canyon,Natural,unknown,15.23674242,Unknown,North,1767.462121,41.770127,-111.744971,248.255029
03/14/13,Logan,Beaver Canyon,Natural,0.6096,30.47348485,243.7878788,West,2315.984848,41.897166,-111.550541,248.449459
03/13/13,Ogden,Spring Creek,Unknown,unknown,Unknown,457.1022727,Southwest,2620.719697,41.16786,-111.875732,248.124268
03/13/13,Provo,Slide Canyon,Skier,0.1524,12.18939394,533.2859848,Southeast,3199.715909,40.368978,-111.618347,248.381653
03/13/13,Logan,East Banks,Natural,0.4572,60.9469697,213.3143939,West,2315.984848,41.896911,-111.549768,248.450232
03/12/13,Logan,Lower Providence Canyon,Snowmobiler,0.3048,6.09469697,38.09185606,West,1980.776515,41.688745,-111.74233,248.25767
03/11/13,Salt Lake,The Fang,Skier,0.1524,6.09469697,76.18371212,North,3047.348485,40.599877,-111.634827,248.365173
03/10/13,Salt Lake,West Willow,Unknown,0.381,30.47348485,45.71022727,East,2894.981061,40.64561,-111.597962,248.402038
03/10/13,Moab,Mt. Tomasaki,Natural,0.9144,30.47348485,243.7878788,Southwest,3595.871212,38.501631,-109.209251,250.790749
03/10/13,Salt Lake,Superior,Skier,0.1016,24.37878788,274.2613636,South,3260.662879,40.59033,-111.670232,248.329768
03/10/13,Salt Lake,Days Fork,Skier,0.1524,3.047348485,106.657197,East,3077.82197,40.598313,-111.633453,248.366547
03/09/13,Salt Lake,Shale Shot,Skier,0.4572,9.142045455,45.71022727,North,2712.140152,40.681549,-111.596503,248.403497
03/09/13,Salt Lake,Alexander Basin,Snowboarder,0.762,10.6657197,Unknown,Northeast,3077.82197,40.670841,-111.682506,248.317494
03/09/13,Salt Lake,Little Pine,Skier,0.127,12.18939394,121.8939394,South,2986.401515,40.585278,-111.686497,248.313503
03/08/13,Provo,Provo Canyon,Unknown,unknown,Unknown,Unknown,North,1706.515152,40.353674,-111.578436,248.421564
03/08/13,Uintas,Boundary Creek,,0.6096,Unknown,Unknown,West,3047.348485,40.83823,-110.77652,249.22348
03/05/13,Salt Lake,Little Superior,Skier,unknown,4.571022727,304.7348485,Southeast,3291.136364,40.591992,-111.667442,248.332558
03/05/13,Salt Lake,Superior,Skier,0.254,30.47348485,152.3674242,North,3291.136364,40.592187,-111.671047,248.328953
03/04/13,Provo,Roberts Horn,Natural,0.3048,30.47348485,457.1022727,Southeast,3077.82197,40.40781,-111.634054,248.365946
03/04/13,Salt Lake,Canyons side country,Unknown,0.2032,12.18939394,76.18371212,East,3047.348485,40.651992,-111.592941,248.407059
03/04/13,Salt Lake,Summit Park,Skier,0.762,53.32859848,106.657197,Northwest,2224.564394,40.74329,-111.630106,248.369894
03/04/13,Salt Lake,Days Fork,Skier,0.2032,15.23674242,182.8409091,North,3108.295455,40.60092,-111.634655,248.365345
03/03/13,Logan,Lower Providence Canyon,Natural,0.4064,38.09185606,304.7348485,North,2224.564394,41.688713,-111.753402,248.246598
03/03/13,Salt Lake,Cardiff Fork,Skier,0.2032,6.09469697,53.32859848,Northwest,2986.401515,40.364309,-111.624334,248.375666
03/03/13,Provo,Rock Canyon,Unknown,unknown,30.47348485,Unknown,North,1980.776515,40.365355,-111.62648,248.37352
03/03/13,Logan,Logan Canyon,Natural,unknown,Unknown,Unknown,,1980.776515,40.36954,-111.568415,248.431585
03/03/13,Provo,Lost Creek,Natural,0.6096,45.71022727,457.1022727,Southeast,3047.348485,40.659448,-111.71083,248.28917
03/03/13,Provo,Lost Creek,Natural,0.254,9.142045455,457.1022727,Southeast,3169.242424,40.47777,-111.509171,248.490829
03/03/13,Provo,North Fork Provo R.,Natural,0.254,7.618371212,152.3674242,Northeast,1828.409091,40.379276,-111.630321,248.369679
03/02/13,Salt Lake,Main Porter,Snowboarder,0.6096,9.142045455,91.42045455,Northeast,2864.507576,39.0436,-111.519,248.481
03/02/13,Provo,Snowslide Jr,Natural,0.2032,9.142045455,243.7878788,Northwest,1828.409091,40.596057,-111.66667,248.33333
03/02/13,Provo,North Fork Provo R.,Natural,0.2032,15.23674242,380.9185606,Southeast,3077.82197,40.680833,-111.597576,248.402424
02/28/13,Salt Lake,Wyatt Couloir,Natural,0.4064,30.47348485,121.8939394,Northeast,3230.189394,40.596057,-111.66667,248.33333
02/26/13,Salt Lake,Canyons side country,Skier,0.3048,12.18939394,30.47348485,North,2712.140152,40.680833,-111.597576,248.402424
02/25/13,Salt Lake,Hellgate,Skier,0.3048,15.23674242,45.71022727,Southeast,3047.348485,40.593539,-111.651821,248.348179
02/24/13,Salt Lake,Two Trees,Skier,unknown,Unknown,Unknown,South,2894.981061,40.591705,-111.657228,248.342772
02/24/13,Salt Lake,Dutch Draw,Skier,0.2032,60.9469697,60.9469697,North,2620.719697,40.653894,-111.584873,248.415127
02/24/13,Salt Lake,Big Cottonwood Canyon,Skier,0.3556,21.33143939,21.33143939,Northwest,2986.401515,40.59474,-111.597362,248.402638
02/24/13,Salt Lake,Toledo Bowl,Snowboarder,0.254,45.71022727,91.42045455,South,3108.295455,40.599747,-111.64577,248.35423
02/24/13,Salt Lake,Back Bowls,Skier,0.3556,38.09185606,45.71022727,Northwest,2986.401515,40.591926,-111.598005,248.401995
02/23/13,Uintas,Upper Weber Canyon,Natural,0.6096,304.7348485,304.7348485,Southeast,3169.242424,40.833132,-111.07873,248.92127
02/23/13,Provo,Dry Fork,Natural,0.4064,12.18939394,60.9469697,Southeast,3169.242424,40.57739,-111.598563,248.401437
02/21/13,Uintas,Duke Bowl,Skier,0.4064,45.71022727,91.42045455,Northwest,3108.295455,40.674812,-111.152029,248.847971
02/19/13,Salt Lake,Red Pine Gulch,Skier,0.4572,21.33143939,45.71022727,Northwest,3047.348485,40.540287,-111.69023,248.30977
02/17/13,Salt Lake,Little Water,,0.127,60.9469697,213.3143939,Northeast,2925.454545,40.672046,-111.626973,248.373027
02/17/13,Skyline,Seeley Creek,Natural,0.6096,45.71022727,91.42045455,East,3047.348485,39.510928,-111.298714,248.701286
02/16/13,Skyline,Ephraim Canyon,Snowmobiler,0.6096,21.33143939,12.18939394,Northeast,3077.82197,39.297094,-111.460569,248.539431
02/16/13,Salt Lake,Reed and Benson Ridge,Natural,0.6604,12.18939394,76.18371212,Northwest,2590.246212,40.625249,-111.651757,248.348243
02/15/13,Uintas,Currant Creek Peak,Snowmobiler,0.4572,45.71022727,91.42045455,Southeast,3199.715909,40.377511,-111.174431,248.825569
02/14/13,Salt Lake,Maybird Gulch,Skier,0.4064,18.28409091,Unknown,East,3291.136364,40.546815,-111.710036,248.289964
02/14/13,Skyline,Wedding Ring Ridge,Natural,0.254,60.9469697,45.71022727,Northeast,2955.92803,39.606878,-111.291161,248.708839
02/13/13,Uintas,Upper Weber Canyon,Natural,0.9144,76.18371212,91.42045455,Southeast,3199.715909,40.846151,-111.066628,248.933372
02/12/13,Salt Lake,Little Superior,Skier,0.3048,9.142045455,6.09469697,Southeast,3199.715909,40.593002,-111.66122,248.33878
02/10/13,Salt Lake,Blue Ice,Natural,1.524,76.18371212,137.1306818,Northeast,2894.981061,40.599291,-111.719112,248.280888
02/05/13,Provo,Lost Creek,Natural,0.3048,12.18939394,609.469697,East,2955.92803,40.362118,-111.625707,248.374293
02/05/13,Logan,Bullen Basin,Unknown,0.9144,60.9469697,137.1306818,Southeast,2894.981061,41.917888,-111.67448,248.32552
02/03/13,Salt Lake,Silver Fork Headwall,Skier,0.762,60.9469697,106.657197,North,3016.875,40.599356,-111.625471,248.374529
02/03/13,Salt Lake,No Name Bowl,Skier,0.4572,24.37878788,91.42045455,Northwest,2712.140152,40.637534,-111.563587,248.436413
02/03/13,Logan,South Tony Grove,Snowmobiler,0.6096,76.18371212,91.42045455,Northeast,2559.772727,41.888189,-111.641092,248.358908
02/03/13,Logan,"Mt. Magog, South Ridge",Natural,0.6096,30.47348485,137.1306818,East,2803.560606,41.913072,-111.653194,248.346806
02/03/13,Uintas,Millcreek,Snowmobiler,0.4064,30.47348485,45.71022727,Northeast,3352.083333,40.855013,-110.707083,249.292917
02/03/13,Uintas,Whitney Basin,Snowmobiler,0.6096,106.657197,152.3674242,Northeast,3230.189394,40.804942,-110.953074,249.046926
02/03/13,Uintas,Whitney Basin,Snowmobiler,0.9144,30.47348485,76.18371212,Northeast,3047.348485,40.87069,-110.970068,249.029932
02/03/13,Provo,Y-Not,Snowboarder,0.9144,91.42045455,Unknown,East,3108.295455,40.536829,-111.639333,248.360667
02/02/13,Skyline,Seeley Creek,Snowmobiler,0.6096,91.42045455,91.42045455,Northeast,3138.768939,39.513146,-111.300302,248.699698
02/02/13,Skyline,Seeley Creek,Snowmobiler,0.6096,60.9469697,121.8939394,Northeast,3169.242424,39.51457,-111.302533,248.697467
