Date,Region,Place,Trigger,Depth,Width,Vertical,Aspect,Elevation,Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,longitude
5/5/13,Salt Lake,Pfeifferhorn,Natural,"18""",150,700,Southwest,11000,,,Wet grains,,,,,"40¡ 31' 55.794"" N","Ê111¡ 42' 23.8464"" W"
4/28/13,Salt Lake,Kessler Peak,Natural,unknown,Unknown,600,North,9000,,,Wet grains,,,,,"40¡ 37' 53.67"" N","Ê111¡ 39' 57.8484"" W"
4/27/13,Uintas,Uintas,Natural,"7""",500,1000,East,11200,,,New Snow,,,,,"40¡ 42' 34.902"" N","Ê111¡ 1' 28.6068"" W"
4/21/13,Salt Lake,Tuscarora,Snowboarder,"12""",70,1000,East,10400,,,New Snow/Old Snow Interface,,1,,,"40¡ 35' 3.0804"" N","Ê111¡ 35' 53.8224"" W"
4/21/13,Salt Lake,Superior,Skier,"8""",90,450,South,10000,,,New Snow/Old Snow Interface,1,1,,,"40¡ 35' 41.8452"" N","Ê111¡ 39' 9.3384"" W"
4/21/13,Salt Lake,Hogum,Natural,"6""",40,2000,East,11000,,,Wet grains,,,,,"40¡ 32' 48.0408"" N","Ê111¡ 43' 29.1972"" W"
4/20/13,Salt Lake,Twin Lakes Pass,Skier,"10""",150,300,East,10300,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 25.422"" N","Ê111¡ 36' 29.5884"" W"
4/20/13,Salt Lake,Rocky Point,Natural,"14""",500,350,Northeast,10400,,,Density Change,,,,,"40¡ 34' 42.5964"" N","Ê111¡ 35' 53.1276"" W"
4/20/13,Salt Lake,MacDonalds Draw,Natural,"6""",40,150,Northeast,9800,,,New Snow,,,,,"40¡ 39' 1.3572"" N","Ê111¡ 35' 28.2552"" W"
4/20/13,Salt Lake,Cardiff Pass,Skier,"8""",200,200,East,Unknown,,,Density Change,,,,,"40¡ 35' 42.432"" N","Ê111¡ 39' 9.6444"" W"
4/20/13,Salt Lake,Mt. Raymond,Skier,"8""",100,400,Northwest,9000,,,Density Change,,,,,none,
4/18/13,Salt Lake,Wolverine,Skier,"12""",,500,East,,,,New Snow,1,1,,,"40¡ 35' 17.5596"" N","Ê111¡ 36' 28.9692"" W"
4/18/13,Skyline,Skyline,Natural,"1""",200,300,Southeast,10500,,,New Snow,,,,,"39¡ 31' 8.8968"" N","Ê111¡ 17' 43.008"" W"
4/11/13,Uintas,Lofty Lake,Natural,5',1000,800,North,11000,,,Facets,,,,,"40¡ 43' 55.8084"" N","Ê110¡ 53' 34.7712"" W"
4/11/13,Salt Lake,Cardiff Pass,Skier,"9""",60,300,South,9400,,,New Snow/Old Snow Interface,,,,,none,
4/11/13,Salt Lake,Kessler Slabs,Skier,"8""",45,1500,East,9900,,,New Snow/Old Snow Interface,1,1,,1,"40¡ 37' 44.4"" N","Ê111¡ 39' 59.0832"" W"
4/10/13,Salt Lake,West Monitor,Skier,"10""",30,600,East,9800,,,New Snow/Old Snow Interface,,,,,"40¡ 38' 18.6612"" N","Ê111¡ 34' 36.3432"" W"
4/9/13,Salt Lake,Lake Lakawaxen,Snowboarder,"10""",175,350,Northeast,10500,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 27.7656"" N","Ê111¡ 33' 32.2272"" W"
4/9/13,Salt Lake,Toledo Bowl,Skier,"18""",200,150,Southeast,9200,,,New Snow/Old Snow Interface,1,1,,,none,
4/9/13,Salt Lake,Grizzly Gulch,Snowboarder,"9""",30,40,Southeast,9500,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 51.2304"" N","Ê111¡ 37' 3.27"" W"
4/9/13,Salt Lake,Little Superior,Natural,2',,,South,10300,,,New Snow/Old Snow Interface,,,,,none,
4/4/13,Salt Lake,Stairs Gulch,Natural,,,,West,9500,,,Ground Interface,,,,,"40¡ 36' 29.7036"" N","Ê111¡ 43' 44.3388"" W"
